DX,MES
107.18,3995.75
107.175,3995.75
107.185,3997.0
107.185,3997.5
107.185,3997.5
107.145,3996.75
107.135,3997.25
107.145,3997.0
107.155,3997.0
107.145,3996.75
107.14,3996.5
107.14,3999.5
107.13,3999.25
107.11,3999.5
107.12,3998.75
107.12,3997.5
107.12,3998.5
107.125,3999.75
107.13,3999.5
107.12,3999.5
107.125,4000.0
107.125,4002.0
107.12,4001.25
107.1,4001.25
107.1,4001.25
107.095,4002.0
107.095,4001.75
107.095,4002.75
107.105,4003.0
107.11,4001.25
107.115,4001.75
107.1,4001.75
107.075,4000.5
107.08,4001.0
107.08,4001.5
107.105,4001.0
107.11,4001.25
107.115,4002.5
107.11,4003.75
107.115,4001.75
107.135,4002.0
107.12,4003.25
107.125,4003.25
107.115,4003.75
107.1,4004.0
107.09,4005.75
107.1,4004.75
107.115,4002.5
107.105,4002.5
107.09,4001.25
107.09,4002.0
107.08,4001.25
107.075,4000.0
107.075,4000.25
107.065,4000.25
107.05,3999.5
107.06,3999.25
107.06,3999.0
107.07,3999.25
107.06,3998.25
107.065,3999.0
107.07,3999.5
107.065,3999.25
107.065,4000.25
107.065,3998.5
107.065,3997.25
